State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
RI,BARRINGTON POLICE DEPT,1240-01-411-6350,"TELESCOPE,STRAIGHT",2,Each,823,F,7,2011-05-18 00:00:00
RI,BARRINGTON POLICE DEPT,2815-00-531-5921,"FILTER, AIR HM-1",3,Each,64.08,B,3,2011-12-03 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2009-11-13 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2009-11-13 00:00:00
RI,BARRINGTON POLICE DEPT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,49897,C,1,2011-04-22 00:00:00
RI,BARRINGTON POLICE DEPT,1240-01-568-8373,"MOUNT,SIGHT",5,Each,1100.48,B,3,2011-06-07 00:00:00
RI,BARRINGTON POLICE DEPT,1240-01-207-5787,BINOCULAR,4,Each,435,F,1,2011-04-21 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2009-11-13 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2009-11-13 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,D,1,2009-11-13 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2012-05-16 00:00:00
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2012-05-16 00:00:00
RI,BURRILLVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-02-02 00:00:00
RI,BURRILLVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-02-02 00:00:00
RI,BURRILLVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-08-16 00:00:00
RI,BURRILLVILLE POLICE DEPT,5855-01-471-1145,"VIEWER,NIGHT VISION",1,Each,75000,D,1,2008-12-13 00:00:00
RI,BURRILLVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-08-16 00:00:00
RI,BURRILLVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-02-02 00:00:00
RI,CHARLESTOWN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-01-11 00:00:00
RI,CHARLESTOWN POLICE DEPT,2320-01-146-7193,"TRUCK,UTILITY",1,Each,41447,C,1,2011-07-13 00:00:00
RI,CHARLESTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-11-18 00:00:00
RI,CHARLESTOWN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-01-11 00:00:00
RI,CHARLESTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-11-18 00:00:00
RI,CHARLESTOWN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,1994-01-11 00:00:00
RI,CHARLESTOWN POLICE DEPT,2320-01-456-1282,"TRUCK,UTILITY",1,Each,46983,C,1,2012-04-30 00:00:00
RI,COVENTRY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2005-01-10 00:00:00
RI,COVENTRY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2004-12-22 00:00:00
