State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2003-08-27 00:00:00
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2003-08-27 00:00:00
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2003-08-27 00:00:00
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2003-08-27 00:00:00
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1997-04-21 00:00:00
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2003-08-27 00:00:00
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2003-08-27 00:00:00
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2003-08-27 00:00:00
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2003-08-27 00:00:00
MD,ABERDEEN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",15,Each,315,D,1,2014-03-24 00:00:00
MD,ALLEGANY COUNTY SHERIFF DEPT,6650-DS-OPT-ICIN,OPTICAL INSTRUMENTS,1,Each,100,D,,2014-11-05 00:00:00
MD,ALLEGANY COUNTY SHERIFF DEPT,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",5,Each,1093,D,1,2015-04-29 00:00:00
MD,ALLEGANY COUNTY SHERIFF DEPT,5855-01-523-7715,"SIGHT,THERMAL",1,Each,10508,D,1,2015-04-29 00:00:00
MD,ALLEGANY COUNTY SHERIFF DEPT,1680-00-973-1862,"SURVIVAL KIT,INDIVIDUAL",8,Each,1014.34,F,1,2015-04-29 00:00:00
MD,ANNAPOLIS POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",3,Each,315,D,1,2014-03-24 00:00:00
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-10-02 00:00:00
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-10-03 00:00:00
MD,ANNAPOLIS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2006-09-29 00:00:00
MD,ANNAPOLIS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2006-09-29 00:00:00
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1998-09-28 00:00:00
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-09-29 00:00:00
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-09-29 00:00:00
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-10-02 00:00:00
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2006-10-02 00:00:00
MD,ANNAPOLIS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2006-09-29 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6545-01-530-0929,"FIRST AID KIT,UNIVERSAL",7,Kit,99.25,A,1,2017-07-28 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",1,Each,250,A,,2017-04-21 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6545-01-530-0929,"FIRST AID KIT,UNIVERSAL",11,Kit,99.25,A,1,2017-07-28 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",1,Each,250,A,,2017-04-21 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",1,Each,250,A,,2017-04-21 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",12,Each,250,A,,2017-04-12 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",1,Each,250,A,,2017-04-21 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",1,Each,250,A,,2017-04-21 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-01-456-5090,"BANDAGE,ELASTIC",2,Package,65.91,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-00-201-7430,"DRESSING,FIRST AID,FIELD",10,Each,8.37,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-01-271-5683,"BANDAGE,CAST,IMPREGNATED",1,Package,42.33,A,,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-00-058-3047,"BANDAGE,GAUZE",1,Package,157.42,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-00-201-1755,"BANDAGE,MUSLIN",18,Each,2.11,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-00-201-7425,"DRESSING,FIRST AID,FIELD",14,Each,6.8,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-00-935-5823,"BANDAGE,ELASTIC",1,Package,18.95,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-DS-SUR-DRES,SURGICAL DRESSING MATERIALS,1,Each,0,A,,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-01-456-5090,"BANDAGE,ELASTIC",2,Package,65.91,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-00-926-8883,"ADHESIVE TAPE,SURGICAL",1,Package,11.61,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-00-926-8882,"ADHESIVE TAPE,SURGICAL",4,Package,17.98,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-01-506-4604,"DRESSING,PRESSURE PAD",25,Each,4.72,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-01-587-9873,"BANDAGE,GAUZE,IMPREGNATED",1,Package,298.1,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-00-200-3040,"BANDAGE,FELT,ORTHOPEDIC",2,Package,78.3,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-01-284-5110,"ADHESIVE TAPE,SURGICAL",1,Package,75.5,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-00-775-5706,"PAD,ABDOMINAL",1,Package,63.56,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,6510-00-201-3000,"COTTON,PURIFIED,USP",10,Package,6.22,A,1,2016-11-01 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COMM COLLEGE PD HI_ED,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2014-02-04 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2014-02-04 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2014-02-04 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",2,Each,315,D,1,2014-03-24 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2014-02-04 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2013-12-19 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-09-05 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2003-06-25 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-09-05 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-09-05 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1520-00-169-7137,"HELICOPTER,OBSERVATION",1,Each,92290,C,1,2005-12-20 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1520-00-169-7137,"HELICOPTER,OBSERVATION",1,Each,92290,C,1,2005-12-20 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-09-05 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2003-06-25 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,2320-01-074-7642,"TRUCK,ARMORED",1,Each,65070,C,1,1999-02-01 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-09-05 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2014-02-04 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2014-02-04 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2014-02-04 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2014-02-04 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2014-02-04 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2014-02-04 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2014-02-04 00:00:00
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,315,D,1,2014-02-04 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,5855-01-228-0936,NIGHT VISION GOGGLE,1,Each,4300,F,1,2001-09-13 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,5855-01-228-0936,NIGHT VISION GOGGLE,1,Each,4300,F,1,2002-10-25 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-21 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-21 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-21 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-21 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-21 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-21 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-21 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-21 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-21 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2002-10-21 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",1,Each,1093,D,1,2015-03-30 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1240-01-411-1265,"SIGHT,REFLEX",20,Each,315,D,1,2014-03-24 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-01-D17-2240,"PISTOL, 40CAL, GLOCK GEN 3",1,Each,320,D,,2013-09-19 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,D,1,2008-02-25 00:00:00
MD,ANNE ARUNDEL COUNTY SHERIFF DEPT,5855-01-228-0936,NIGHT VISION GOGGLE,1,Each,4300,F,1,1998-05-28 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,1999-01-28 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,2000-07-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,1999-01-28 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,1999-01-28 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,1999-01-28 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,2000-07-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,2000-07-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,2000-07-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,1999-01-28 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,2000-07-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,2000-07-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,1999-01-28 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,2000-07-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,2000-07-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,2000-07-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,2000-07-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,2000-07-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,2000-07-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,D,1,2000-07-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
MD,BALTIMORE CITY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,2004-02-18 00:00:00
